desc_party,county,date,count
Libertarian,Stanton,2015-11-19,18
Republican,Stanton,2015-11-19,791
Unaffiliated,Stanton,2015-11-19,222
Democratic,Stevens,2015-11-19,312
Libertarian,Stevens,2015-11-19,18
Republican,Stevens,2015-11-19,2165
Unaffiliated,Stevens,2015-11-19,409
Democratic,Sumner,2015-11-19,3406
Libertarian,Sumner,2015-11-19,136
Republican,Sumner,2015-11-19,7513
Unaffiliated,Sumner,2015-11-19,5146
Democratic,Thomas,2015-11-19,620
Libertarian,Thomas,2015-11-19,30
Republican,Thomas,2015-11-19,3050
Unaffiliated,Thomas,2015-11-19,1197
Democratic,Trego,2015-11-19,413
Libertarian,Trego,2015-11-19,14
Republican,Trego,2015-11-19,1202
Unaffiliated,Trego,2015-11-19,529
Democratic,Wabaunsee,2015-11-19,774
Libertarian,Wabaunsee,2015-11-19,31
Republican,Wabaunsee,2015-11-19,2730
Unaffiliated,Wabaunsee,2015-11-19,1066
Democratic,Wallace,2015-11-19,76
Libertarian,Wallace,2015-11-19,3
Republican,Wallace,2015-11-19,838
Unaffiliated,Wallace,2015-11-19,123
Democratic,Washington,2015-11-19,348
Libertarian,Washington,2015-11-19,10
Republican,Washington,2015-11-19,2835
Unaffiliated,Washington,2015-11-19,470
Democratic,Wichita,2015-11-19,170
Libertarian,Wichita,2015-11-19,7
Republican,Wichita,2015-11-19,843
Unaffiliated,Wichita,2015-11-19,381
Democratic,Wilson,2015-11-19,692
Libertarian,Wilson,2015-11-19,31
Republican,Wilson,2015-11-19,3074
Unaffiliated,Wilson,2015-11-19,949
Democratic,Woodson,2015-11-19,355
Libertarian,Woodson,2015-11-19,11
Republican,Woodson,2015-11-19,1335
Unaffiliated,Woodson,2015-11-19,476
Democratic,Wyandotte,2015-11-19,36815
Libertarian,Wyandotte,2015-11-19,473
Republican,Wyandotte,2015-11-19,12475
Unaffiliated,Wyandotte,2015-11-19,22611
Democratic,Allen,2016-02-03,1568
Libertarian,Allen,2016-02-03,55
Republican,Allen,2016-02-03,3979
Unaffiliated,Allen,2016-02-03,2717
Democratic,Anderson,2016-02-03,1237
Libertarian,Anderson,2016-02-03,48
Republican,Anderson,2016-02-03,2124
Unaffiliated,Anderson,2016-02-03,1915
Democratic,Atchison,2016-02-03,3173
Libertarian,Atchison,2016-02-03,52
Republican,Atchison,2016-02-03,3669
Unaffiliated,Atchison,2016-02-03,3947
Democratic,Barber,2016-02-03,458
Libertarian,Barber,2016-02-03,12
Republican,Barber,2016-02-03,1983
Unaffiliated,Barber,2016-02-03,440
Democratic,Barton,2016-02-03,2908
Libertarian,Barton,2016-02-03,94
Republican,Barton,2016-02-03,9414
Unaffiliated,Barton,2016-02-03,4666
Democratic,Bourbon,2016-02-03,2829
Libertarian,Bourbon,2016-02-03,69
Republican,Bourbon,2016-02-03,4742
Unaffiliated,Bourbon,2016-02-03,3797
Democratic,Brown,2016-02-03,1049
Libertarian,Brown,2016-02-03,33
Republican,Brown,2016-02-03,3353
Unaffiliated,Brown,2016-02-03,1484
Democratic,Butler,2016-02-03,7076
Libertarian,Butler,2016-02-03,291
Republican,Butler,2016-02-03,20160
Unaffiliated,Butler,2016-02-03,12544
Democratic,Chase,2016-02-03,279
Libertarian,Chase,2016-02-03,13
Republican,Chase,2016-02-03,1167
Unaffiliated,Chase,2016-02-03,358
Democratic,Chautauqua,2016-02-03,276
Libertarian,Chautauqua,2016-02-03,13
Republican,Chautauqua,2016-02-03,1572
Unaffiliated,Chautauqua,2016-02-03,428
Democratic,Cherokee,2016-02-03,4782
Libertarian,Cherokee,2016-02-03,123
Republican,Cherokee,2016-02-03,6017
Unaffiliated,Cherokee,2016-02-03,5630
Democratic,Cheyenne,2016-02-03,223
Libertarian,Cheyenne,2016-02-03,8
Republican,Cheyenne,2016-02-03,1378
Unaffiliated,Cheyenne,2016-02-03,250
Democratic,Clark,2016-02-03,246
Libertarian,Clark,2016-02-03,8
Republican,Clark,2016-02-03,942
Unaffiliated,Clark,2016-02-03,283
Democratic,Clay,2016-02-03,604
Libertarian,Clay,2016-02-03,39
Republican,Clay,2016-02-03,3768
Unaffiliated,Clay,2016-02-03,1284
Democratic,Cloud,2016-02-03,1029
Libertarian,Cloud,2016-02-03,37
Republican,Cloud,2016-02-03,3453
Unaffiliated,Cloud,2016-02-03,1427
Democratic,Coffey,2016-02-03,938
Libertarian,Coffey,2016-02-03,40
Republican,Coffey,2016-02-03,3568
Unaffiliated,Coffey,2016-02-03,1478
Democratic,Comanche,2016-02-03,165
Libertarian,Comanche,2016-02-03,3
Republican,Comanche,2016-02-03,814
Unaffiliated,Comanche,2016-02-03,139
Democratic,Cowley,2016-02-03,4676
Libertarian,Cowley,2016-02-03,124
Republican,Cowley,2016-02-03,9010
Unaffiliated,Cowley,2016-02-03,5628
Democratic,Crawford,2016-02-03,7910
Libertarian,Crawford,2016-02-03,179
Republican,Crawford,2016-02-03,7630
Unaffiliated,Crawford,2016-02-03,8698
Democratic,Decatur,2016-02-03,296
Libertarian,Decatur,2016-02-03,11
Republican,Decatur,2016-02-03,1328
Unaffiliated,Decatur,2016-02-03,418
Democratic,Dickinson,2016-02-03,1897
Libertarian,Dickinson,2016-02-03,89
Republican,Dickinson,2016-02-03,7235
Unaffiliated,Dickinson,2016-02-03,3503
Democratic,Doniphan,2016-02-03,782
Libertarian,Doniphan,2016-02-03,24
Republican,Doniphan,2016-02-03,2867
Unaffiliated,Doniphan,2016-02-03,1262
Democratic,Douglas,2016-02-03,27026
Libertarian,Douglas,2016-02-03,889
Republican,Douglas,2016-02-03,21857
Unaffiliated,Douglas,2016-02-03,28671
Democratic,Edwards,2016-02-03,306
Libertarian,Edwards,2016-02-03,7
Republican,Edwards,2016-02-03,1204
Unaffiliated,Edwards,2016-02-03,360
Democratic,Elk,2016-02-03,369
Libertarian,Elk,2016-02-03,5
Republican,Elk,2016-02-03,1117
Unaffiliated,Elk,2016-02-03,331
Democratic,Ellis,2016-02-03,4285
Libertarian,Ellis,2016-02-03,174
Republican,Ellis,2016-02-03,8174
Unaffiliated,Ellis,2016-02-03,5095
Democratic,Ellsworth,2016-02-03,866
Libertarian,Ellsworth,2016-02-03,22
Republican,Ellsworth,2016-02-03,2226
Unaffiliated,Ellsworth,2016-02-03,968
Democratic,Finney,2016-02-03,3552
Libertarian,Finney,2016-02-03,117
Republican,Finney,2016-02-03,7833
Unaffiliated,Finney,2016-02-03,6453
Democratic,Ford,2016-02-03,3445
Libertarian,Ford,2016-02-03,120
Republican,Ford,2016-02-03,6344
Unaffiliated,Ford,2016-02-03,5394
Democratic,Franklin,2016-02-03,3539
Libertarian,Franklin,2016-02-03,136
Republican,Franklin,2016-02-03,8580
Unaffiliated,Franklin,2016-02-03,5039
Democratic,Geary,2016-02-03,4073
Libertarian,Geary,2016-02-03,89
Republican,Geary,2016-02-03,5215
Unaffiliated,Geary,2016-02-03,4819
Democratic,Gove,2016-02-03,297
Libertarian,Gove,2016-02-03,2
Republican,Gove,2016-02-03,1253
Unaffiliated,Gove,2016-02-03,353
Democratic,Graham,2016-02-03,233
Libertarian,Graham,2016-02-03,13
Republican,Graham,2016-02-03,1273
Unaffiliated,Graham,2016-02-03,273
Democratic,Grant,2016-02-03,485
Libertarian,Grant,2016-02-03,25
Republican,Grant,2016-02-03,2109
Unaffiliated,Grant,2016-02-03,745
Democratic,Gray,2016-02-03,464
Libertarian,Gray,2016-02-03,27
Republican,Gray,2016-02-03,1704
Unaffiliated,Gray,2016-02-03,742
Democratic,Greeley,2016-02-03,56
Libertarian,Greeley,2016-02-03,2
Republican,Greeley,2016-02-03,685
Unaffiliated,Greeley,2016-02-03,96
Democratic,Greenwood,2016-02-03,572
Libertarian,Greenwood,2016-02-03,12
Republican,Greenwood,2016-02-03,2333
Unaffiliated,Greenwood,2016-02-03,1807
Democratic,Hamilton,2016-02-03,151
Libertarian,Hamilton,2016-02-03,5
Republican,Hamilton,2016-02-03,852
Unaffiliated,Hamilton,2016-02-03,239
Democratic,Harper,2016-02-03,694
Libertarian,Harper,2016-02-03,23
Republican,Harper,2016-02-03,2385
Unaffiliated,Harper,2016-02-03,1040
Democratic,Harvey,2016-02-03,4135
Libertarian,Harvey,2016-02-03,127
Republican,Harvey,2016-02-03,10552
Unaffiliated,Harvey,2016-02-03,6117
Democratic,Haskell,2016-02-03,278
Libertarian,Haskell,2016-02-03,5
Republican,Haskell,2016-02-03,1491
Unaffiliated,Haskell,2016-02-03,595
Democratic,Hodgeman,2016-02-03,197
Libertarian,Hodgeman,2016-02-03,1
Republican,Hodgeman,2016-02-03,978
Unaffiliated,Hodgeman,2016-02-03,221
Democratic,Jackson,2016-02-03,1819
Libertarian,Jackson,2016-02-03,43
Republican,Jackson,2016-02-03,3990
Unaffiliated,Jackson,2016-02-03,2388
Democratic,Jefferson,2016-02-03,2793
Libertarian,Jefferson,2016-02-03,89
Republican,Jefferson,2016-02-03,5742
Unaffiliated,Jefferson,2016-02-03,4286
Democratic,Jewell,2016-02-03,256
Libertarian,Jewell,2016-02-03,9
Republican,Jewell,2016-02-03,1415
Unaffiliated,Jewell,2016-02-03,471
Democratic,Johnson,2016-02-03,86664
Libertarian,Johnson,2016-02-03,3567
Republican,Johnson,2016-02-03,174970
Unaffiliated,Johnson,2016-02-03,118383
Democratic,Kearny,2016-02-03,273
Libertarian,Kearny,2016-02-03,5
Republican,Kearny,2016-02-03,1291
Unaffiliated,Kearny,2016-02-03,500
Democratic,Kiowa,2016-02-03,177
Libertarian,Kiowa,2016-02-03,3
Republican,Kiowa,2016-02-03,1100
Unaffiliated,Kiowa,2016-02-03,231
Democratic,Labette,2016-02-03,3901
Libertarian,Labette,2016-02-03,122
Republican,Labette,2016-02-03,5653
Unaffiliated,Labette,2016-02-03,6243
Democratic,Lane,2016-02-03,156
Libertarian,Lane,2016-02-03,8
Republican,Lane,2016-02-03,953
Unaffiliated,Lane,2016-02-03,194
Democratic,Leavenworth,2016-02-03,12406
Libertarian,Leavenworth,2016-02-03,381
Republican,Leavenworth,2016-02-03,18023
Unaffiliated,Leavenworth,2016-02-03,17121
Democratic,Lincoln,2016-02-03,248
Libertarian,Lincoln,2016-02-03,21
Republican,Lincoln,2016-02-03,1402
Unaffiliated,Lincoln,2016-02-03,467
Democratic,Linn,2016-02-03,1188
Libertarian,Linn,2016-02-03,47
Republican,Linn,2016-02-03,3569
Unaffiliated,Linn,2016-02-03,1753
Democratic,Logan,2016-02-03,211
Libertarian,Logan,2016-02-03,6
Republican,Logan,2016-02-03,1293
Unaffiliated,Logan,2016-02-03,285
Democratic,Lyon,2016-02-03,4542
Libertarian,Lyon,2016-02-03,161
Republican,Lyon,2016-02-03,7554
Unaffiliated,Lyon,2016-02-03,6886
Democratic,Marion,2016-02-03,1163
Libertarian,Marion,2016-02-03,41
Republican,Marion,2016-02-03,4742
Unaffiliated,Marion,2016-02-03,1894
Democratic,Marshall,2016-02-03,1511
Libertarian,Marshall,2016-02-03,21
Republican,Marshall,2016-02-03,3247
Unaffiliated,Marshall,2016-02-03,1698
Democratic,McPherson,2016-02-03,2552
Libertarian,McPherson,2016-02-03,125
Republican,McPherson,2016-02-03,9538
Unaffiliated,McPherson,2016-02-03,3978
Democratic,Meade,2016-02-03,369
Libertarian,Meade,2016-02-03,19
Republican,Meade,2016-02-03,2104
Unaffiliated,Meade,2016-02-03,663
Democratic,Miami,2016-02-03,4261
Libertarian,Miami,2016-02-03,166
Republican,Miami,2016-02-03,10151
Unaffiliated,Miami,2016-02-03,6557
Democratic,Mitchell,2016-02-03,640
Libertarian,Mitchell,2016-02-03,8
Republican,Mitchell,2016-02-03,2573
Unaffiliated,Mitchell,2016-02-03,917
Democratic,Montgomery,2016-02-03,4381
Libertarian,Montgomery,2016-02-03,137
Republican,Montgomery,2016-02-03,9842
Unaffiliated,Montgomery,2016-02-03,4475
Democratic,Morris,2016-02-03,726
Libertarian,Morris,2016-02-03,28
Republican,Morris,2016-02-03,2087
Unaffiliated,Morris,2016-02-03,956
Democratic,Morton,2016-02-03,278
Libertarian,Morton,2016-02-03,12
Republican,Morton,2016-02-03,1355
Unaffiliated,Morton,2016-02-03,344
Democratic,Nemaha,2016-02-03,1566
Libertarian,Nemaha,2016-02-03,31
Republican,Nemaha,2016-02-03,3716
Unaffiliated,Nemaha,2016-02-03,1830
Democratic,Neosho,2016-02-03,2322
Libertarian,Neosho,2016-02-03,100
Republican,Neosho,2016-02-03,5100
Unaffiliated,Neosho,2016-02-03,3757
Democratic,Ness,2016-02-03,305
Libertarian,Ness,2016-02-03,8
Republican,Ness,2016-02-03,1301
Unaffiliated,Ness,2016-02-03,348
Democratic,Norton,2016-02-03,415
Libertarian,Norton,2016-02-03,12
Republican,Norton,2016-02-03,2101
Unaffiliated,Norton,2016-02-03,760
Democratic,Osage,2016-02-03,2218
Libertarian,Osage,2016-02-03,88
Republican,Osage,2016-02-03,5141
Unaffiliated,Osage,2016-02-03,3259
Democratic,Osborne,2016-02-03,472
Libertarian,Osborne,2016-02-03,11
Republican,Osborne,2016-02-03,1595
Unaffiliated,Osborne,2016-02-03,658
Democratic,Ottawa,2016-02-03,503
Libertarian,Ottawa,2016-02-03,34
Republican,Ottawa,2016-02-03,2678
Unaffiliated,Ottawa,2016-02-03,1097
Democratic,Pawnee,2016-02-03,759
Libertarian,Pawnee,2016-02-03,19
Republican,Pawnee,2016-02-03,2227
Unaffiliated,Pawnee,2016-02-03,950
Democratic,Phillips,2016-02-03,357
Libertarian,Phillips,2016-02-03,14
Republican,Phillips,2016-02-03,2591
Unaffiliated,Phillips,2016-02-03,627
Democratic,Pottawatomie,2016-02-03,1877
Libertarian,Pottawatomie,2016-02-03,92
Republican,Pottawatomie,2016-02-03,7985
Unaffiliated,Pottawatomie,2016-02-03,3365
Democratic,Pratt,2016-02-03,955
Libertarian,Pratt,2016-02-03,37
Republican,Pratt,2016-02-03,3439
Unaffiliated,Pratt,2016-02-03,1188
Democratic,Rawlins,2016-02-03,241
Libertarian,Rawlins,2016-02-03,10
Republican,Rawlins,2016-02-03,1452
Unaffiliated,Rawlins,2016-02-03,364
Democratic,Reno,2016-02-03,9116
Libertarian,Reno,2016-02-03,316
Republican,Reno,2016-02-03,18233
Unaffiliated,Reno,2016-02-03,12504
Democratic,Republic,2016-02-03,509
Libertarian,Republic,2016-02-03,14
Republican,Republic,2016-02-03,2482
Unaffiliated,Republic,2016-02-03,666
Democratic,Rice,2016-02-03,1021
Libertarian,Rice,2016-02-03,50
Republican,Rice,2016-02-03,3270
Unaffiliated,Rice,2016-02-03,1589
Democratic,Riley,2016-02-03,6937
Libertarian,Riley,2016-02-03,323
Republican,Riley,2016-02-03,13483
Unaffiliated,Riley,2016-02-03,10124
Democratic,Rooks,2016-02-03,379
Libertarian,Rooks,2016-02-03,7
Republican,Rooks,2016-02-03,2355
Unaffiliated,Rooks,2016-02-03,611
Democratic,Rush,2016-02-03,366
Libertarian,Rush,2016-02-03,7
Republican,Rush,2016-02-03,1346
Unaffiliated,Rush,2016-02-03,408
Democratic,Russell,2016-02-03,672
Libertarian,Russell,2016-02-03,19
Republican,Russell,2016-02-03,2830
Unaffiliated,Russell,2016-02-03,810
Democratic,Saline,2016-02-03,6419
Libertarian,Saline,2016-02-03,316
Republican,Saline,2016-02-03,15468
Unaffiliated,Saline,2016-02-03,11842
Democratic,Scott,2016-02-03,295
Libertarian,Scott,2016-02-03,9
Republican,Scott,2016-02-03,2241
Unaffiliated,Scott,2016-02-03,681
Democratic,Sedgwick,2016-02-03,64962
Libertarian,Sedgwick,2016-02-03,2191
Republican,Sedgwick,2016-02-03,110193
Unaffiliated,Sedgwick,2016-02-03,99817
Democratic,Seward,2016-02-03,2016
Libertarian,Seward,2016-02-03,89
Republican,Seward,2016-02-03,4815
Unaffiliated,Seward,2016-02-03,3259
Democratic,Shawnee,2016-02-03,32064
Libertarian,Shawnee,2016-02-03,792
Republican,Shawnee,2016-02-03,40244
Unaffiliated,Shawnee,2016-02-03,31866
Democratic,Sheridan,2016-02-03,305
Libertarian,Sheridan,2016-02-03,5
Republican,Sheridan,2016-02-03,1093
Unaffiliated,Sheridan,2016-02-03,389
Democratic,Sherman,2016-02-03,522
Libertarian,Sherman,2016-02-03,25
Republican,Sherman,2016-02-03,2366
Unaffiliated,Sherman,2016-02-03,872
Democratic,Smith,2016-02-03,421
Libertarian,Smith,2016-02-03,3
Republican,Smith,2016-02-03,2023
Unaffiliated,Smith,2016-02-03,440
Democratic,Stafford,2016-02-03,379
Libertarian,Stafford,2016-02-03,19
Republican,Stafford,2016-02-03,1707
Unaffiliated,Stafford,2016-02-03,528
Democratic,Stanton,2016-02-03,205
Libertarian,Stanton,2016-02-03,18
Republican,Stanton,2016-02-03,790
Unaffiliated,Stanton,2016-02-03,225
Democratic,Stevens,2016-02-03,309
Libertarian,Stevens,2016-02-03,18
Republican,Stevens,2016-02-03,2175
Unaffiliated,Stevens,2016-02-03,412
Democratic,Sumner,2016-02-03,3400
Libertarian,Sumner,2016-02-03,137
Republican,Sumner,2016-02-03,7514
Unaffiliated,Sumner,2016-02-03,5121
Democratic,Thomas,2016-02-03,609
Libertarian,Thomas,2016-02-03,30
Republican,Thomas,2016-02-03,3069
Unaffiliated,Thomas,2016-02-03,1176
Democratic,Trego,2016-02-03,413
Libertarian,Trego,2016-02-03,14
Republican,Trego,2016-02-03,1200
Unaffiliated,Trego,2016-02-03,526
Democratic,Wabaunsee,2016-02-03,769
Libertarian,Wabaunsee,2016-02-03,28
Republican,Wabaunsee,2016-02-03,2737
Unaffiliated,Wabaunsee,2016-02-03,1066
Democratic,Wallace,2016-02-03,72
Libertarian,Wallace,2016-02-03,2
Republican,Wallace,2016-02-03,827
Unaffiliated,Wallace,2016-02-03,120
Democratic,Washington,2016-02-03,350
Libertarian,Washington,2016-02-03,9
Republican,Washington,2016-02-03,2834
Unaffiliated,Washington,2016-02-03,468
Democratic,Wichita,2016-02-03,166
Libertarian,Wichita,2016-02-03,7
Republican,Wichita,2016-02-03,845
Unaffiliated,Wichita,2016-02-03,385
Democratic,Wilson,2016-02-03,685
Libertarian,Wilson,2016-02-03,33
Republican,Wilson,2016-02-03,3083
Unaffiliated,Wilson,2016-02-03,960
Democratic,Woodson,2016-02-03,351
Libertarian,Woodson,2016-02-03,12
Republican,Woodson,2016-02-03,1335
Unaffiliated,Woodson,2016-02-03,487
Democratic,Wyandotte,2016-02-03,36868
Libertarian,Wyandotte,2016-02-03,479
Republican,Wyandotte,2016-02-03,12621
Unaffiliated,Wyandotte,2016-02-03,23142
Democratic,Allen,2016-04-21,1582
Libertarian,Allen,2016-04-21,55
Republican,Allen,2016-04-21,3989
Unaffiliated,Allen,2016-04-21,2718
Democratic,Anderson,2016-04-21,1231
Libertarian,Anderson,2016-04-21,46
Republican,Anderson,2016-04-21,2141
Unaffiliated,Anderson,2016-04-21,1903
Democratic,Atchison,2016-04-21,3198
Libertarian,Atchison,2016-04-21,51
Republican,Atchison,2016-04-21,3729
Unaffiliated,Atchison,2016-04-21,3945
Democratic,Barber,2016-04-21,444
Libertarian,Barber,2016-04-21,11
Republican,Barber,2016-04-21,2014
Unaffiliated,Barber,2016-04-21,439
Democratic,Barton,2016-04-21,2955
Libertarian,Barton,2016-04-21,93
Republican,Barton,2016-04-21,9434
Unaffiliated,Barton,2016-04-21,4681
Democratic,Bourbon,2016-04-21,2833
Libertarian,Bourbon,2016-04-21,65
Republican,Bourbon,2016-04-21,4779
Unaffiliated,Bourbon,2016-04-21,3780
Democratic,Brown,2016-04-21,1054
Libertarian,Brown,2016-04-21,35
Republican,Brown,2016-04-21,3372
Unaffiliated,Brown,2016-04-21,1490
Democratic,Butler,2016-04-21,7313
Libertarian,Butler,2016-04-21,291
Republican,Butler,2016-04-21,20374
Unaffiliated,Butler,2016-04-21,12551
Democratic,Chase,2016-04-21,283
Libertarian,Chase,2016-04-21,12
Republican,Chase,2016-04-21,1169
Unaffiliated,Chase,2016-04-21,352
Democratic,Chautauqua,2016-04-21,270
Libertarian,Chautauqua,2016-04-21,13
Republican,Chautauqua,2016-04-21,1575
Unaffiliated,Chautauqua,2016-04-21,436
Democratic,Cherokee,2016-04-21,4746
Libertarian,Cherokee,2016-04-21,127
Republican,Cherokee,2016-04-21,6043
Unaffiliated,Cherokee,2016-04-21,5661
Democratic,Cheyenne,2016-04-21,233
Libertarian,Cheyenne,2016-04-21,8
Republican,Cheyenne,2016-04-21,1376
Unaffiliated,Cheyenne,2016-04-21,251
Democratic,Clark,2016-04-21,240
Libertarian,Clark,2016-04-21,8
Republican,Clark,2016-04-21,931
Unaffiliated,Clark,2016-04-21,268
Democratic,Clay,2016-04-21,603
Libertarian,Clay,2016-04-21,43
Republican,Clay,2016-04-21,3752
Unaffiliated,Clay,2016-04-21,1295
Democratic,Cloud,2016-04-21,1040
Libertarian,Cloud,2016-04-21,34
Republican,Cloud,2016-04-21,3447
Unaffiliated,Cloud,2016-04-21,1416
Democratic,Coffey,2016-04-21,944
Libertarian,Coffey,2016-04-21,37
Republican,Coffey,2016-04-21,3597
Unaffiliated,Coffey,2016-04-21,1484
Democratic,Comanche,2016-04-21,166
Libertarian,Comanche,2016-04-21,3
Republican,Comanche,2016-04-21,824
Unaffiliated,Comanche,2016-04-21,140
Democratic,Cowley,2016-04-21,4843
Libertarian,Cowley,2016-04-21,112
Republican,Cowley,2016-04-21,9045
Unaffiliated,Cowley,2016-04-21,5573
Democratic,Crawford,2016-04-21,7998
Libertarian,Crawford,2016-04-21,169
Republican,Crawford,2016-04-21,7639
Unaffiliated,Crawford,2016-04-21,8482
Democratic,Decatur,2016-04-21,288
Libertarian,Decatur,2016-04-21,10
Republican,Decatur,2016-04-21,1349
Unaffiliated,Decatur,2016-04-21,407
Democratic,Dickinson,2016-04-21,1946
Libertarian,Dickinson,2016-04-21,98
Republican,Dickinson,2016-04-21,7319
Unaffiliated,Dickinson,2016-04-21,3532
Democratic,Doniphan,2016-04-21,792
Libertarian,Doniphan,2016-04-21,25
Republican,Doniphan,2016-04-21,2850
Unaffiliated,Doniphan,2016-04-21,1275
Democratic,Douglas,2016-04-21,28804
Libertarian,Douglas,2016-04-21,842
Republican,Douglas,2016-04-21,21543
Unaffiliated,Douglas,2016-04-21,27189
Democratic,Edwards,2016-04-21,305
Libertarian,Edwards,2016-04-21,9
Republican,Edwards,2016-04-21,1211
Unaffiliated,Edwards,2016-04-21,376
Democratic,Elk,2016-04-21,357
Libertarian,Elk,2016-04-21,6
Republican,Elk,2016-04-21,1111
Unaffiliated,Elk,2016-04-21,306
Democratic,Ellis,2016-04-21,4418
Libertarian,Ellis,2016-04-21,172
Republican,Ellis,2016-04-21,8249
Unaffiliated,Ellis,2016-04-21,5039
Democratic,Ellsworth,2016-04-21,868
Libertarian,Ellsworth,2016-04-21,18
Republican,Ellsworth,2016-04-21,2222
Unaffiliated,Ellsworth,2016-04-21,964
Democratic,Finney,2016-04-21,3702
Libertarian,Finney,2016-04-21,109
Republican,Finney,2016-04-21,7843
Unaffiliated,Finney,2016-04-21,6413
Democratic,Ford,2016-04-21,3520
Libertarian,Ford,2016-04-21,127
Republican,Ford,2016-04-21,6373
Unaffiliated,Ford,2016-04-21,5370
Democratic,Franklin,2016-04-21,3642
Libertarian,Franklin,2016-04-21,141
Republican,Franklin,2016-04-21,8639
Unaffiliated,Franklin,2016-04-21,5062
Democratic,Geary,2016-04-21,4161
Libertarian,Geary,2016-04-21,92
Republican,Geary,2016-04-21,5304
Unaffiliated,Geary,2016-04-21,4889
Democratic,Gove,2016-04-21,302
Libertarian,Gove,2016-04-21,2
Republican,Gove,2016-04-21,1247
Unaffiliated,Gove,2016-04-21,348
Democratic,Graham,2016-04-21,232
Libertarian,Graham,2016-04-21,10
Republican,Graham,2016-04-21,1277
Unaffiliated,Graham,2016-04-21,266
Democratic,Grant,2016-04-21,488
Libertarian,Grant,2016-04-21,26
Republican,Grant,2016-04-21,2136
Unaffiliated,Grant,2016-04-21,746
Democratic,Gray,2016-04-21,470
Libertarian,Gray,2016-04-21,27
Republican,Gray,2016-04-21,1728
Unaffiliated,Gray,2016-04-21,729
Democratic,Greeley,2016-04-21,55
Libertarian,Greeley,2016-04-21,1
Republican,Greeley,2016-04-21,683
Unaffiliated,Greeley,2016-04-21,99
Democratic,Greenwood,2016-04-21,596
Libertarian,Greenwood,2016-04-21,13
Republican,Greenwood,2016-04-21,2386
Unaffiliated,Greenwood,2016-04-21,1788
Democratic,Hamilton,2016-04-21,149
Libertarian,Hamilton,2016-04-21,5
Republican,Hamilton,2016-04-21,852
Unaffiliated,Hamilton,2016-04-21,249
Democratic,Harper,2016-04-21,699
Libertarian,Harper,2016-04-21,24
Republican,Harper,2016-04-21,2387
Unaffiliated,Harper,2016-04-21,1026
Democratic,Harvey,2016-04-21,4393
Libertarian,Harvey,2016-04-21,124
Republican,Harvey,2016-04-21,10540
Unaffiliated,Harvey,2016-04-21,6061
Democratic,Haskell,2016-04-21,277
Libertarian,Haskell,2016-04-21,6
Republican,Haskell,2016-04-21,1478
Unaffiliated,Haskell,2016-04-21,594
Democratic,Hodgeman,2016-04-21,192
Libertarian,Hodgeman,2016-04-21,1
Republican,Hodgeman,2016-04-21,987
Unaffiliated,Hodgeman,2016-04-21,223
Democratic,Jackson,2016-04-21,1858
Libertarian,Jackson,2016-04-21,41
Republican,Jackson,2016-04-21,4008
Unaffiliated,Jackson,2016-04-21,2377
Democratic,Jefferson,2016-04-21,2855
Libertarian,Jefferson,2016-04-21,83
Republican,Jefferson,2016-04-21,5769
Unaffiliated,Jefferson,2016-04-21,4275
Democratic,Jewell,2016-04-21,257
Libertarian,Jewell,2016-04-21,10
Republican,Jewell,2016-04-21,1418
Unaffiliated,Jewell,2016-04-21,473
Democratic,Johnson,2016-04-21,92032
Libertarian,Johnson,2016-04-21,3526
Republican,Johnson,2016-04-21,175580
Unaffiliated,Johnson,2016-04-21,116983
Democratic,Kearny,2016-04-21,275
Libertarian,Kearny,2016-04-21,6
Republican,Kearny,2016-04-21,1291
Unaffiliated,Kearny,2016-04-21,496
Democratic,Kingman,2016-04-21,916
Libertarian,Kingman,2016-04-21,28
Republican,Kingman,2016-04-21,2991
Unaffiliated,Kingman,2016-04-21,1476
Democratic,Kiowa,2016-04-21,181
Libertarian,Kiowa,2016-04-21,3
Republican,Kiowa,2016-04-21,1113
Unaffiliated,Kiowa,2016-04-21,222
Democratic,Labette,2016-04-21,3894
Libertarian,Labette,2016-04-21,120
Republican,Labette,2016-04-21,5670
Unaffiliated,Labette,2016-04-21,6276
Democratic,Lane,2016-04-21,159
Libertarian,Lane,2016-04-21,10
Republican,Lane,2016-04-21,950
Unaffiliated,Lane,2016-04-21,202
Democratic,Leavenworth,2016-04-21,12689
Libertarian,Leavenworth,2016-04-21,374
Republican,Leavenworth,2016-04-21,18274
Unaffiliated,Leavenworth,2016-04-21,17211
Democratic,Lincoln,2016-04-21,252
Libertarian,Lincoln,2016-04-21,24
Republican,Lincoln,2016-04-21,1409
Unaffiliated,Lincoln,2016-04-21,473
Democratic,Linn,2016-04-21,1202
Libertarian,Linn,2016-04-21,47
Republican,Linn,2016-04-21,3619
Unaffiliated,Linn,2016-04-21,1761
Democratic,Logan,2016-04-21,207
Libertarian,Logan,2016-04-21,6
Republican,Logan,2016-04-21,1319
Unaffiliated,Logan,2016-04-21,287
Democratic,Lyon,2016-04-21,4834
Libertarian,Lyon,2016-04-21,163
Republican,Lyon,2016-04-21,7513
Unaffiliated,Lyon,2016-04-21,6867
Democratic,Marion,2016-04-21,1167
Libertarian,Marion,2016-04-21,43
Republican,Marion,2016-04-21,4746
Unaffiliated,Marion,2016-04-21,1916
Democratic,Marshall,2016-04-21,1477
