desc_party,district_ks,date,count
Unaffiliated,10,2015-06-11,15020
Libertarian,10,2015-06-11,402
Republican,10,2015-09-04,20229
Unaffiliated,10,2015-09-04,15149
Democratic,10,2015-09-04,11654
Libertarian,10,2015-09-04,404
Democratic,10,2015-11-05,11774
Libertarian,10,2015-11-05,400
Republican,10,2015-11-05,20339
Unaffiliated,10,2015-11-05,15245
Unaffiliated,10,2015-11-19,15257
Libertarian,10,2015-11-19,396
Republican,10,2015-11-19,20343
Democratic,10,2015-11-19,11811
Democratic,10,2016-02-03,11886
Unaffiliated,10,2016-02-03,15266
Libertarian,10,2016-02-03,389
Republican,10,2016-02-03,20381
Libertarian,10,2016-04-21,394
Republican,10,2016-04-21,20559
Democratic,10,2016-04-21,12617
Unaffiliated,10,2016-04-21,15206
Democratic,10,2016-06-02,12655
Unaffiliated,10,2016-06-02,15288
Republican,10,2016-06-02,20592
Libertarian,10,2016-06-02,402
Libertarian,10,2016-08-02,424
Unaffiliated,10,2016-08-02,15527
Democratic,10,2016-08-02,12937
Republican,10,2016-08-02,20868
Unaffiliated,10,2016-10-06,15117
Democratic,10,2016-10-06,13406
Republican,10,2016-10-06,21499
Libertarian,10,2016-10-06,470
Democratic,10,2017-01-12,12993
Unaffiliated,10,2017-01-12,14848
Libertarian,10,2017-01-12,462
Republican,10,2017-01-12,21002
Unaffiliated,10,2017-02-17,14979
Libertarian,10,2017-02-17,468
Democratic,10,2017-02-17,13037
Republican,10,2017-02-17,21057
Unaffiliated,10,2017-03-07,14996
Republican,10,2017-03-07,21037
Democratic,10,2017-03-07,13038
Libertarian,10,2017-03-07,470
Libertarian,10,2017-04-03,465
Unaffiliated,10,2017-04-03,15072
Democratic,10,2017-04-03,13028
Republican,10,2017-04-03,21040
Republican,10,2017-05-11,21046
Libertarian,10,2017-05-11,466
Unaffiliated,10,2017-05-11,15128
Democratic,10,2017-05-11,13045
Democratic,10,2017-06-06,13056
Libertarian,10,2017-06-06,466
Republican,10,2017-06-06,21068
Unaffiliated,10,2017-06-06,15188
Unaffiliated,10,2017-06-23,15204
Republican,10,2017-06-23,21061
Libertarian,10,2017-06-23,468
Democratic,10,2017-06-23,13056
Unaffiliated,10,2017-08-02,15236
Republican,10,2017-08-02,21029
Libertarian,10,2017-08-02,466
Democratic,10,2017-08-02,13066
Unaffiliated,10,2017-09-01,15353
Democratic,10,2017-09-01,13104
Libertarian,10,2017-09-01,467
Republican,10,2017-09-01,21062
Republican,10,2017-10-05,21038
Unaffiliated,10,2017-10-05,15417
Democratic,10,2017-10-05,13086
Libertarian,10,2017-10-05,471
Libertarian,10,2017-11-02,482
Unaffiliated,10,2017-11-02,15492
Democratic,10,2017-11-02,13140
Republican,10,2017-11-02,21070
Libertarian,10,2017-12-14,482
Democratic,10,2017-12-14,13176
Republican,10,2017-12-14,21084
Unaffiliated,10,2017-12-14,15584
Unaffiliated,11,2014-12-22,13879
Democratic,11,2014-12-22,9525
Libertarian,11,2014-12-22,344
Republican,11,2014-12-22,27661
Unaffiliated,11,2015-06-11,14242
Republican,11,2015-06-11,27830
Democratic,11,2015-06-11,9584
Libertarian,11,2015-06-11,365
Libertarian,11,2015-09-04,365
Democratic,11,2015-09-04,9696
Unaffiliated,11,2015-09-04,14471
Republican,11,2015-09-04,27969
Unaffiliated,11,2015-11-05,14595
Republican,11,2015-11-05,28111
Libertarian,11,2015-11-05,369
Democratic,11,2015-11-05,9798
Republican,11,2015-11-19,28149
Democratic,11,2015-11-19,9824
Unaffiliated,11,2015-11-19,14606
Libertarian,11,2015-11-19,374
Unaffiliated,11,2016-02-03,14640
Democratic,11,2016-02-03,9911
Republican,11,2016-02-03,28289
Libertarian,11,2016-02-03,384
Republican,11,2016-04-21,28402
Unaffiliated,11,2016-04-21,14494
Democratic,11,2016-04-21,10513
Libertarian,11,2016-04-21,386
Libertarian,11,2016-06-02,382
Republican,11,2016-06-02,28455
Unaffiliated,11,2016-06-02,14545
Democratic,11,2016-06-02,10536
Libertarian,11,2016-08-02,399
Democratic,11,2016-08-02,10774
Republican,11,2016-08-02,28993
Unaffiliated,11,2016-08-02,14513
Republican,11,2016-10-06,29882
Unaffiliated,11,2016-10-06,14028
Democratic,11,2016-10-06,11251
Libertarian,11,2016-10-06,420
Democratic,11,2017-01-12,10941
Republican,11,2017-01-12,28754
Libertarian,11,2017-01-12,424
Unaffiliated,11,2017-01-12,13763
Libertarian,11,2017-02-17,426
Unaffiliated,11,2017-02-17,13869
Republican,11,2017-02-17,28745
Democratic,11,2017-02-17,10980
Democratic,11,2017-03-07,10976
Unaffiliated,11,2017-03-07,13885
Republican,11,2017-03-07,28720
Libertarian,11,2017-03-07,423
Libertarian,11,2017-04-03,421
Unaffiliated,11,2017-04-03,13921
Republican,11,2017-04-03,28741
Democratic,11,2017-04-03,11004
Libertarian,11,2017-05-11,427
Democratic,11,2017-05-11,11031
Unaffiliated,11,2017-05-11,13983
Republican,11,2017-05-11,28779
Republican,11,2017-06-06,28758
Democratic,11,2017-06-06,11053
Libertarian,11,2017-06-06,429
Unaffiliated,11,2017-06-06,14004
Democratic,11,2017-06-23,11072
Unaffiliated,11,2017-06-23,14014
Republican,11,2017-06-23,28759
Libertarian,11,2017-06-23,432
Democratic,11,2017-08-02,11215
Unaffiliated,11,2017-08-02,14175
Republican,11,2017-08-02,28893
Libertarian,11,2017-08-02,439
Democratic,11,2017-09-01,11281
Republican,11,2017-09-01,28919
Unaffiliated,11,2017-09-01,14325
Libertarian,11,2017-09-01,446
Democratic,11,2017-10-05,11317
Unaffiliated,11,2017-10-05,14411
Republican,11,2017-10-05,28900
Libertarian,11,2017-10-05,447
Unaffiliated,11,2017-11-02,14382
Democratic,11,2017-11-02,11286
Republican,11,2017-11-02,28798
Libertarian,11,2017-11-02,444
Republican,11,2017-12-14,28764
Unaffiliated,11,2017-12-14,14517
Libertarian,11,2017-12-14,454
Democratic,11,2017-12-14,11324
Democratic,12,2014-12-22,10082
Unaffiliated,12,2014-12-22,14407
Republican,12,2014-12-22,22478
Libertarian,12,2014-12-22,352
Unaffiliated,12,2015-06-11,14509
Libertarian,12,2015-06-11,362
Democratic,12,2015-06-11,9934
Republican,12,2015-06-11,22307
Libertarian,12,2015-09-04,359
Unaffiliated,12,2015-09-04,14566
Republican,12,2015-09-04,22232
Democratic,12,2015-09-04,9863
Libertarian,12,2015-11-05,355
Republican,12,2015-11-05,22204
Unaffiliated,12,2015-11-05,14560
Democratic,12,2015-11-05,9785
Libertarian,12,2015-11-19,355
Republican,12,2015-11-19,22208
Unaffiliated,12,2015-11-19,14554
Democratic,12,2015-11-19,9785
Unaffiliated,12,2016-02-03,14027
Libertarian,12,2016-02-03,344
Democratic,12,2016-02-03,9483
Republican,12,2016-02-03,21853
Republican,12,2016-04-21,22028
Unaffiliated,12,2016-04-21,14048
Libertarian,12,2016-04-21,344
Democratic,12,2016-04-21,9632
Unaffiliated,12,2016-06-02,14076
Libertarian,12,2016-06-02,350
Democratic,12,2016-06-02,9629
Republican,12,2016-06-02,22045
Democratic,12,2016-08-02,9697
Republican,12,2016-08-02,22246
Libertarian,12,2016-08-02,361
Unaffiliated,12,2016-08-02,14185
Unaffiliated,12,2016-10-06,13902
Republican,12,2016-10-06,22780
Democratic,12,2016-10-06,9803
Libertarian,12,2016-10-06,384
Libertarian,12,2017-01-12,418
Unaffiliated,12,2017-01-12,14245
Democratic,12,2017-01-12,9679
Republican,12,2017-01-12,22937
Unaffiliated,12,2017-02-17,14338
Democratic,12,2017-02-17,9697
Libertarian,12,2017-02-17,423
Republican,12,2017-02-17,23052
Unaffiliated,12,2017-03-07,14368
Libertarian,12,2017-03-07,425
Democratic,12,2017-03-07,9684
Republican,12,2017-03-07,23038
Unaffiliated,12,2017-04-03,14407
Democratic,12,2017-04-03,9680
Libertarian,12,2017-04-03,423
Republican,12,2017-04-03,23063
Unaffiliated,12,2017-05-11,14420
Republican,12,2017-05-11,23024
Democratic,12,2017-05-11,9659
Libertarian,12,2017-05-11,430
Unaffiliated,12,2017-06-06,14466
Libertarian,12,2017-06-06,429
Democratic,12,2017-06-06,9652
Republican,12,2017-06-06,23033
Republican,12,2017-06-23,22943
Libertarian,12,2017-06-23,430
Unaffiliated,12,2017-06-23,14318
Democratic,12,2017-06-23,9590
Democratic,12,2017-08-02,9576
Republican,12,2017-08-02,22925
Unaffiliated,12,2017-08-02,14333
Libertarian,12,2017-08-02,432
Libertarian,12,2017-09-01,434
Republican,12,2017-09-01,22898
Democratic,12,2017-09-01,9538
Unaffiliated,12,2017-09-01,14357
Democratic,12,2017-10-05,9525
Republican,12,2017-10-05,22894
Unaffiliated,12,2017-10-05,14384
Libertarian,12,2017-10-05,439
Libertarian,12,2017-11-02,440
Democratic,12,2017-11-02,9529
Republican,12,2017-11-02,22875
Unaffiliated,12,2017-11-02,14433
Libertarian,12,2017-12-14,446
Unaffiliated,12,2017-12-14,14547
Republican,12,2017-12-14,22862
Democratic,12,2017-12-14,9522
Democratic,13,2014-12-22,15475
Libertarian,13,2014-12-22,358
Republican,13,2014-12-22,17103
Unaffiliated,13,2014-12-22,16819
Libertarian,13,2015-06-11,359
Republican,13,2015-06-11,17090
Unaffiliated,13,2015-06-11,17182
Democratic,13,2015-06-11,15330
Libertarian,13,2015-09-04,357
Democratic,13,2015-09-04,15267
Republican,13,2015-09-04,17114
Unaffiliated,13,2015-09-04,17417
Republican,13,2015-11-05,17127
Democratic,13,2015-11-05,15189
Unaffiliated,13,2015-11-05,17474
Libertarian,13,2015-11-05,357
Libertarian,13,2015-11-19,357
Republican,13,2015-11-19,17119
Unaffiliated,13,2015-11-19,17495
Democratic,13,2015-11-19,15185
Democratic,13,2016-02-03,15059
Unaffiliated,13,2016-02-03,17527
Libertarian,13,2016-02-03,357
Republican,13,2016-02-03,17146
Republican,13,2016-04-21,17196
Unaffiliated,13,2016-04-21,17343
Democratic,13,2016-04-21,15113
Libertarian,13,2016-04-21,348
Democratic,13,2016-06-02,15063
Unaffiliated,13,2016-06-02,17374
Republican,13,2016-06-02,17198
Libertarian,13,2016-06-02,352
Republican,13,2016-08-02,17339
Unaffiliated,13,2016-08-02,17533
Democratic,13,2016-08-02,15109
Libertarian,13,2016-08-02,354
Unaffiliated,13,2016-10-06,17387
Democratic,13,2016-10-06,15258
Libertarian,13,2016-10-06,372
Republican,13,2016-10-06,17818
Republican,13,2017-01-12,18052
Libertarian,13,2017-01-12,407
Unaffiliated,13,2017-01-12,17617
Democratic,13,2017-01-12,15117
Unaffiliated,13,2017-02-17,17257
Libertarian,13,2017-02-17,398
Republican,13,2017-02-17,17828
Democratic,13,2017-02-17,14823
Republican,13,2017-03-07,17813
Libertarian,13,2017-03-07,398
Unaffiliated,13,2017-03-07,17239
Democratic,13,2017-03-07,14768
Libertarian,13,2017-04-03,400
Republican,13,2017-04-03,17751
Unaffiliated,13,2017-04-03,17177
Democratic,13,2017-04-03,14662
Republican,13,2017-05-11,17745
Democratic,13,2017-05-11,14621
Libertarian,13,2017-05-11,402
Unaffiliated,13,2017-05-11,17181
Democratic,13,2017-06-06,14605
Unaffiliated,13,2017-06-06,17268
Republican,13,2017-06-06,17737
Libertarian,13,2017-06-06,405
Libertarian,13,2017-06-23,404
Republican,13,2017-06-23,17734
Unaffiliated,13,2017-06-23,17264
Democratic,13,2017-06-23,14573
Libertarian,13,2017-08-02,405
Unaffiliated,13,2017-08-02,17272
Democratic,13,2017-08-02,14524
Republican,13,2017-08-02,17700
Republican,13,2017-09-01,17706
Libertarian,13,2017-09-01,402
Democratic,13,2017-09-01,14509
Unaffiliated,13,2017-09-01,17361
Republican,13,2017-10-05,17732
Unaffiliated,13,2017-10-05,17451
Democratic,13,2017-10-05,14451
Libertarian,13,2017-10-05,400
Libertarian,13,2017-11-02,399
Unaffiliated,13,2017-11-02,17503
Republican,13,2017-11-02,17767
Democratic,13,2017-11-02,14434
Libertarian,13,2017-12-14,400
Unaffiliated,13,2017-12-14,17652
Democratic,13,2017-12-14,14386
Republican,13,2017-12-14,17761
Republican,14,2014-12-22,23992
Libertarian,14,2014-12-22,266
Democratic,14,2014-12-22,7883
Unaffiliated,14,2014-12-22,11855
Unaffiliated,14,2015-06-11,11698
Democratic,14,2015-06-11,7680
Libertarian,14,2015-06-11,267
Republican,14,2015-06-11,23677
Unaffiliated,14,2015-09-04,11717
Libertarian,14,2015-09-04,269
Democratic,14,2015-09-04,7613
Republican,14,2015-09-04,23499
Libertarian,14,2015-11-05,271
Republican,14,2015-11-05,23463
Unaffiliated,14,2015-11-05,11625
Democratic,14,2015-11-05,7553
Republican,14,2015-11-19,23450
Democratic,14,2015-11-19,7547
Unaffiliated,14,2015-11-19,11645
Libertarian,14,2015-11-19,271
Unaffiliated,14,2016-02-03,11705
Republican,14,2016-02-03,23445
Libertarian,14,2016-02-03,271
Democratic,14,2016-02-03,7490
Republican,14,2016-04-21,23648
Libertarian,14,2016-04-21,272
Unaffiliated,14,2016-04-21,11720
Democratic,14,2016-04-21,7598
Republican,14,2016-06-02,23683
Unaffiliated,14,2016-06-02,11744
Democratic,14,2016-06-02,7538
Libertarian,14,2016-06-02,277
Democratic,14,2016-08-02,7532
Libertarian,14,2016-08-02,283
Republican,14,2016-08-02,23884
Unaffiliated,14,2016-08-02,11850
Democratic,14,2016-10-06,7672
Libertarian,14,2016-10-06,285
Unaffiliated,14,2016-10-06,11115
Republican,14,2016-10-06,24858
Unaffiliated,14,2017-01-12,10965
Libertarian,14,2017-01-12,316
Democratic,14,2017-01-12,7420
Republican,14,2017-01-12,24869
Republican,14,2017-02-17,24860
Democratic,14,2017-02-17,7398
Libertarian,14,2017-02-17,319
Unaffiliated,14,2017-02-17,11058
Republican,14,2017-03-07,24845
Libertarian,14,2017-03-07,319
Unaffiliated,14,2017-03-07,11075
Democratic,14,2017-03-07,7371
Republican,14,2017-04-03,24818
Democratic,14,2017-04-03,7348
Libertarian,14,2017-04-03,320
Unaffiliated,14,2017-04-03,11078
Democratic,14,2017-05-11,7305
Unaffiliated,14,2017-05-11,11094
Libertarian,14,2017-05-11,322
Republican,14,2017-05-11,24788
Democratic,14,2017-06-06,7286
Libertarian,14,2017-06-06,322
Republican,14,2017-06-06,24786
Unaffiliated,14,2017-06-06,11133
Republican,14,2017-06-23,24765
Democratic,14,2017-06-23,7283
Unaffiliated,14,2017-06-23,11141
Libertarian,14,2017-06-23,321
Republican,14,2017-08-02,24769
Unaffiliated,14,2017-08-02,11162
Libertarian,14,2017-08-02,322
Democratic,14,2017-08-02,7260
Democratic,14,2017-09-01,7251
Republican,14,2017-09-01,24764
Unaffiliated,14,2017-09-01,11198
Libertarian,14,2017-09-01,326
Republican,14,2017-10-05,24749
Unaffiliated,14,2017-10-05,11254
Democratic,14,2017-10-05,7226
Libertarian,14,2017-10-05,324
Republican,14,2017-11-02,24768
Libertarian,14,2017-11-02,327
Democratic,14,2017-11-02,7228
Unaffiliated,14,2017-11-02,11319
Democratic,14,2017-12-14,7100
Libertarian,14,2017-12-14,324
Unaffiliated,14,2017-12-14,11129
Republican,14,2017-12-14,24612
Libertarian,15,2014-12-22,356
Democratic,15,2014-12-22,10616
Unaffiliated,15,2014-12-22,13775
Republican,15,2014-12-22,20442
Democratic,15,2015-06-11,10462
Republican,15,2015-06-11,20276
Libertarian,15,2015-06-11,362
Unaffiliated,15,2015-06-11,13995
Democratic,15,2015-09-04,10404
Unaffiliated,15,2015-09-04,14115
Libertarian,15,2015-09-04,360
Republican,15,2015-09-04,20207
Unaffiliated,15,2015-11-05,14006
Libertarian,15,2015-11-05,354
Democratic,15,2015-11-05,10306
Republican,15,2015-11-05,20046
Libertarian,15,2015-11-19,353
Democratic,15,2015-11-19,10291
Unaffiliated,15,2015-11-19,13924
Republican,15,2015-11-19,20018
Republican,15,2016-02-03,20008
Democratic,15,2016-02-03,10240
Libertarian,15,2016-02-03,350
Unaffiliated,15,2016-02-03,13960
Libertarian,15,2016-04-21,354
Democratic,15,2016-04-21,10314
Republican,15,2016-04-21,20116
Unaffiliated,15,2016-04-21,13972
Unaffiliated,15,2016-06-02,14018
Democratic,15,2016-06-02,10261
Republican,15,2016-06-02,20121
Libertarian,15,2016-06-02,354
Democratic,15,2016-08-02,10305
Republican,15,2016-08-02,20203
Unaffiliated,15,2016-08-02,14231
Libertarian,15,2016-08-02,365
Republican,15,2016-10-06,20778
Unaffiliated,15,2016-10-06,13914
Libertarian,15,2016-10-06,375
Democratic,15,2016-10-06,10374
Republican,15,2017-01-12,20941
Democratic,15,2017-01-12,10132
Unaffiliated,15,2017-01-12,14070
Libertarian,15,2017-01-12,393
Libertarian,15,2017-02-17,355
Unaffiliated,15,2017-02-17,13025
Democratic,15,2017-02-17,9634
Republican,15,2017-02-17,20324
Republican,15,2017-03-07,20248
Democratic,15,2017-03-07,9571
Unaffiliated,15,2017-03-07,12912
Libertarian,15,2017-03-07,355
Democratic,15,2017-04-03,9433
Republican,15,2017-04-03,20066
Libertarian,15,2017-04-03,350
Unaffiliated,15,2017-04-03,12789
Democratic,15,2017-05-11,9403
Republican,15,2017-05-11,20020
Unaffiliated,15,2017-05-11,12806
Libertarian,15,2017-05-11,357
Libertarian,15,2017-06-06,358
Democratic,15,2017-06-06,9392
Republican,15,2017-06-06,20050
Unaffiliated,15,2017-06-06,12868
Republican,15,2017-06-23,20051
Democratic,15,2017-06-23,9370
Unaffiliated,15,2017-06-23,12937
Libertarian,15,2017-06-23,359
Republican,15,2017-08-02,19992
Unaffiliated,15,2017-08-02,12972
Libertarian,15,2017-08-02,359
Democratic,15,2017-08-02,9325
Democratic,15,2017-09-01,9301
Republican,15,2017-09-01,19972
Unaffiliated,15,2017-09-01,12998
Libertarian,15,2017-09-01,365
Democratic,15,2017-10-05,9287
Libertarian,15,2017-10-05,363
Unaffiliated,15,2017-10-05,13034
Republican,15,2017-10-05,19978
Republican,15,2017-11-02,19974
Libertarian,15,2017-11-02,364
Democratic,15,2017-11-02,9272
Unaffiliated,15,2017-11-02,13040
Unaffiliated,15,2017-12-14,13143
Libertarian,15,2017-12-14,362
Democratic,15,2017-12-14,9244
Republican,15,2017-12-14,19994
Republican,16,2014-12-22,23253
Democratic,16,2014-12-22,7673
Unaffiliated,16,2014-12-22,14825
Libertarian,16,2014-12-22,329
Unaffiliated,16,2015-06-11,14683
Democratic,16,2015-06-11,7466
Libertarian,16,2015-06-11,321
Republican,16,2015-06-11,22919
Libertarian,16,2015-09-04,326
Republican,16,2015-09-04,22969
Democratic,16,2015-09-04,7501
Unaffiliated,16,2015-09-04,15002
Democratic,16,2015-11-05,7537
Republican,16,2015-11-05,22986
Libertarian,16,2015-11-05,324
Unaffiliated,16,2015-11-05,14939
Unaffiliated,16,2015-11-19,14911
Libertarian,16,2015-11-19,322
Republican,16,2015-11-19,22963
Democratic,16,2015-11-19,7524
Republican,16,2016-02-03,23018
Democratic,16,2016-02-03,7568
Libertarian,16,2016-02-03,327
Unaffiliated,16,2016-02-03,15013
Republican,16,2016-04-21,23285
Democratic,16,2016-04-21,7914
Unaffiliated,16,2016-04-21,15084
Libertarian,16,2016-04-21,329
Libertarian,16,2016-06-02,325
Republican,16,2016-06-02,23414
Unaffiliated,16,2016-06-02,15154
Democratic,16,2016-06-02,7927
Libertarian,16,2016-08-02,327
Unaffiliated,16,2016-08-02,15463
Republican,16,2016-08-02,23715
Democratic,16,2016-08-02,8038
Libertarian,16,2016-10-06,352
Republican,16,2016-10-06,24475
Unaffiliated,16,2016-10-06,15293
Democratic,16,2016-10-06,8285
Republican,16,2017-01-12,24496
Unaffiliated,16,2017-01-12,15475
Libertarian,16,2017-01-12,400
Democratic,16,2017-01-12,8256
Libertarian,16,2017-02-17,403
Unaffiliated,16,2017-02-17,15607
Democratic,16,2017-02-17,8289
Republican,16,2017-02-17,24521
Unaffiliated,16,2017-03-07,15654
Libertarian,16,2017-03-07,403
Republican,16,2017-03-07,24527
Democratic,16,2017-03-07,8286
Libertarian,16,2017-04-03,404
Republican,16,2017-04-03,24501
Unaffiliated,16,2017-04-03,15683
Democratic,16,2017-04-03,8288
Democratic,16,2017-05-11,8283
Republican,16,2017-05-11,24529
Unaffiliated,16,2017-05-11,15805
Libertarian,16,2017-05-11,401
Unaffiliated,16,2017-06-06,15873
Libertarian,16,2017-06-06,399
Democratic,16,2017-06-06,8282
Republican,16,2017-06-06,24518
Democratic,16,2017-06-23,8273
Unaffiliated,16,2017-06-23,15920
Libertarian,16,2017-06-23,402
Republican,16,2017-06-23,24485
Democratic,16,2017-08-02,8278
Republican,16,2017-08-02,24444
Unaffiliated,16,2017-08-02,15996
Libertarian,16,2017-08-02,403
Republican,16,2017-09-01,24156
Democratic,16,2017-09-01,8158
Unaffiliated,16,2017-09-01,15774
Libertarian,16,2017-09-01,399
Unaffiliated,16,2017-10-05,15870
Democratic,16,2017-10-05,8166
Republican,16,2017-10-05,24169
Libertarian,16,2017-10-05,399
Republican,16,2017-11-02,24154
Libertarian,16,2017-11-02,403
Democratic,16,2017-11-02,8173
Unaffiliated,16,2017-11-02,15939
Republican,16,2017-12-14,24035
Libertarian,16,2017-12-14,409
Democratic,16,2017-12-14,8078
Unaffiliated,16,2017-12-14,15910
Unaffiliated,17,2014-12-22,12315
Democratic,17,2014-12-22,9314
Libertarian,17,2014-12-22,276
Republican,17,2014-12-22,15187
Democratic,17,2015-06-11,8961
Libertarian,17,2015-06-11,262
Unaffiliated,17,2015-06-11,11946
Republican,17,2015-06-11,14746
Unaffiliated,17,2015-09-04,12205
Republican,17,2015-09-04,14820
Libertarian,17,2015-09-04,272
Democratic,17,2015-09-04,8959
Unaffiliated,17,2015-11-05,12476
Republican,17,2015-11-05,14878
Democratic,17,2015-11-05,9024
Libertarian,17,2015-11-05,273
Republican,17,2015-11-19,14849
Unaffiliated,17,2015-11-19,12426
Democratic,17,2015-11-19,9017
Libertarian,17,2015-11-19,271
Democratic,17,2016-02-03,8989
Unaffiliated,17,2016-02-03,12412
Libertarian,17,2016-02-03,273
Republican,17,2016-02-03,14851
Unaffiliated,17,2016-04-21,12435
Democratic,17,2016-04-21,9391
Libertarian,17,2016-04-21,276
Republican,17,2016-04-21,14942
Republican,17,2016-06-02,14987
Unaffiliated,17,2016-06-02,12483
Libertarian,17,2016-06-02,278
Democratic,17,2016-06-02,9389
Democratic,17,2016-08-02,9511
Republican,17,2016-08-02,15183
Unaffiliated,17,2016-08-02,12738
Libertarian,17,2016-08-02,290
Libertarian,17,2016-10-06,309
Republican,17,2016-10-06,15687
Democratic,17,2016-10-06,9748
Unaffiliated,17,2016-10-06,12653
Unaffiliated,17,2017-01-12,13077
Libertarian,17,2017-01-12,340
Republican,17,2017-01-12,15939
Democratic,17,2017-01-12,9886
Unaffiliated,17,2017-02-17,13244
Republican,17,2017-02-17,15985
Democratic,17,2017-02-17,9923
Libertarian,17,2017-02-17,349
Democratic,17,2017-03-07,9932
Libertarian,17,2017-03-07,349
Unaffiliated,17,2017-03-07,13267
Republican,17,2017-03-07,16001
Libertarian,17,2017-04-03,338
Unaffiliated,17,2017-04-03,12909
Democratic,17,2017-04-03,9659
Republican,17,2017-04-03,15748
Libertarian,17,2017-05-11,342
Republican,17,2017-05-11,15749
Democratic,17,2017-05-11,9638
Unaffiliated,17,2017-05-11,12920
Unaffiliated,17,2017-06-06,13020
Republican,17,2017-06-06,15789
Democratic,17,2017-06-06,9650
Libertarian,17,2017-06-06,344
Republican,17,2017-06-23,15789
Unaffiliated,17,2017-06-23,13050
Democratic,17,2017-06-23,9647
Libertarian,17,2017-06-23,343
Republican,17,2017-08-02,15793
Unaffiliated,17,2017-08-02,13110
Libertarian,17,2017-08-02,339
Democratic,17,2017-08-02,9648
Republican,17,2017-09-01,15799
Democratic,17,2017-09-01,9654
Libertarian,17,2017-09-01,343
Unaffiliated,17,2017-09-01,13178
Democratic,17,2017-10-05,9672
Republican,17,2017-10-05,15828
Unaffiliated,17,2017-10-05,13254
Libertarian,17,2017-10-05,350
Republican,17,2017-11-02,15837
Unaffiliated,17,2017-11-02,13275
Democratic,17,2017-11-02,9678
Libertarian,17,2017-11-02,353
Unaffiliated,17,2017-12-14,13359
Democratic,17,2017-12-14,9671
Republican,17,2017-12-14,15814
Libertarian,17,2017-12-14,354
Republican,18,2014-12-22,16839
Democratic,18,2014-12-22,12048
Libertarian,18,2014-12-22,335
Unaffiliated,18,2014-12-22,12892
Unaffiliated,18,2015-06-11,12873
Democratic,18,2015-06-11,11878
Libertarian,18,2015-06-11,340
Republican,18,2015-06-11,16562
Libertarian,18,2015-09-04,347
Republican,18,2015-09-04,16518
Democratic,18,2015-09-04,11906
Unaffiliated,18,2015-09-04,12973
Libertarian,18,2015-11-05,353
Democratic,18,2015-11-05,11927
Republican,18,2015-11-05,16541
Unaffiliated,18,2015-11-05,13081
Unaffiliated,18,2015-11-19,13083
Democratic,18,2015-11-19,11915
Libertarian,18,2015-11-19,352
Republican,18,2015-11-19,16551
Libertarian,18,2016-02-03,321
Republican,18,2016-02-03,16303
Democratic,18,2016-02-03,11535
Unaffiliated,18,2016-02-03,12390
Democratic,18,2016-04-21,12044
Unaffiliated,18,2016-04-21,12262
Republican,18,2016-04-21,16360
Libertarian,18,2016-04-21,303
Unaffiliated,18,2016-06-02,12326
Republican,18,2016-06-02,16397
Libertarian,18,2016-06-02,309
Democratic,18,2016-06-02,12028
Libertarian,18,2016-08-02,317
Democratic,18,2016-08-02,12125
Republican,18,2016-08-02,16681
Unaffiliated,18,2016-08-02,12509
Unaffiliated,18,2016-10-06,11984
Democratic,18,2016-10-06,12460
Republican,18,2016-10-06,17285
Libertarian,18,2016-10-06,331
Republican,18,2017-01-12,17475
Libertarian,18,2017-01-12,362
Democratic,18,2017-01-12,12478
Unaffiliated,18,2017-01-12,12447
Republican,18,2017-02-17,17462
Unaffiliated,18,2017-02-17,12479
Libertarian,18,2017-02-17,362
Democratic,18,2017-02-17,12456
Republican,18,2017-03-07,17061
Libertarian,18,2017-03-07,344
Democratic,18,2017-03-07,11875
Unaffiliated,18,2017-03-07,11730
Libertarian,18,2017-04-03,345
Republican,18,2017-04-03,17048
Democratic,18,2017-04-03,11862
Unaffiliated,18,2017-04-03,11757
Unaffiliated,18,2017-05-11,11764
Libertarian,18,2017-05-11,346
Republican,18,2017-05-11,17053
Democratic,18,2017-05-11,11828
Unaffiliated,18,2017-06-06,11799
Libertarian,18,2017-06-06,346
Democratic,18,2017-06-06,11787
Republican,18,2017-06-06,17043
Republican,18,2017-06-23,17028
Libertarian,18,2017-06-23,346
Unaffiliated,18,2017-06-23,11810
Democratic,18,2017-06-23,11774
Unaffiliated,18,2017-08-02,11836
Democratic,18,2017-08-02,11769
Republican,18,2017-08-02,16983
Libertarian,18,2017-08-02,344
Unaffiliated,18,2017-09-01,11958
Republican,18,2017-09-01,16993
Libertarian,18,2017-09-01,346
Democratic,18,2017-09-01,11762
Democratic,18,2017-10-05,11753
Republican,18,2017-10-05,16989
Libertarian,18,2017-10-05,351
Unaffiliated,18,2017-10-05,12068
Democratic,18,2017-11-02,11734
Libertarian,18,2017-11-02,353
Unaffiliated,18,2017-11-02,12121
Republican,18,2017-11-02,16977
Unaffiliated,18,2017-12-14,12233
Republican,18,2017-12-14,16992
Libertarian,18,2017-12-14,353
Democratic,18,2017-12-14,11710
Republican,19,2014-12-22,15234
Libertarian,19,2014-12-22,299
Unaffiliated,19,2014-12-22,12949
Democratic,19,2014-12-22,13664
Unaffiliated,19,2015-06-11,13193
Democratic,19,2015-06-11,13558
Libertarian,19,2015-06-11,308
Republican,19,2015-06-11,15166
Democratic,19,2015-09-04,13472
Libertarian,19,2015-09-04,323
Republican,19,2015-09-04,15122
Unaffiliated,19,2015-09-04,13349
Republican,19,2015-11-05,15091
